company,url,title,content
뉴시스,https://n.news.naver.com/mnews/article/003/0012929260?sid=101,"한-모로코, 경제동반자협정 협의 속도낸다…참단산업 진출 발판","
산업부, 카림 지단 모로코 투자 특임장관과 면담



[서울=뉴시스] 정인교 산업통상자원부 통상교섭본부장이 26일 서울 소공동 롯데호텔에서 열린 제4차 한-몽골 경제동반자협정(EPA) 공식협상 개회식에 참석해 발언하고 있다. (사진=산업통상자원부 제공) 2024.11.26. photo@newsis.com *재판매 및 DB 금지[세종=뉴시스]김동현 기자 = 우리나라와 모로코가 경제동반자협정(EPA) 협의에 속도를 내기로 했다. 산업통상자원부는 28일 정인교 산업부 통상교섭본부장이 서울 그랜드하얏트 호텔에서 열린 모로코 투자로드쇼에 참석해 한국을 찾은 카림 지단 모로코 특임장관과 양국 간 경제협력 확대 방안을 논의했다고 밝혔다.정인교 본부장은 ""투자 확대를 위해 EPA 협상이 조속히 개시되는 것이 바람직하다""고 강조하며 ""한국기업들의 주요 관심 분야인 철도 전동차, 신재생에너지 등의 프로젝트 참여와 진출 기업의 애로 해소 관련 모로코 정부의 관심과 지원을 부탁한다""고 요청했다. 지단 장관은 ""EPA 논의를 앞당기자""고 화답하며 ""모로코는 유럽연합(EU)·미국 등 55개국과의 풍부한 자유무역협정(FTA) 네트워크와 유럽·중동 진출의 지리적 이점을 지닌 투자 허브로, 자동차, 항공, 조선, 청정에너지 등 첨단산업 분야 한국 기업 진출을 희망한다""고 말했다. 면담에 이어 정 본부장은 투자로드쇼 개막식 축사를 통해 ""양국 기업인들 간 다양한 비즈니스 기회가 창출될 수 있도록 한-모로코 EPA  체결 노력 등 모로코 정부와 긴밀히 협력하며 지원하겠다""고 약속했다.



[세종=뉴시스]강종민 기자 = 세종시 어진동 정부세종청사 산업통상자원부. 2019.09.03. ppkjm@newsis.com *재판매 및 DB 금지
"
이데일리,https://n.news.naver.com/mnews/article/018/0005895961?sid=102,'포천 한탄강 가든 페스타' 30만명 방문 130억원 직접 경제효과 창출,"
'2024년 한탄강 가든페스타 성과보고회' 개최내년부터는 한탄강 연계한 통합축제로 확대백영현시장 ""수도권 대표 축제로 자리매김""[포천=이데일리 정재훈 기자] 지난 가을 포천시가 마련한 한탄강 가든 페스타에 30만여명의 방문객이 찾아 130억원의 직접 경제효과를 낸 것으로 나타났다.경기 포천시는 지난 28일 포천시청 시정회의실에서 ‘2024년 한탄강 가든페스타 성과보고회’를 개최했다고 29일 밝혔다.이번 보고회는 한탄강 가든페스타 축제의 성과를 공유하고, 2025년 한탄강 통합축제 개최 방안을 논의하기 위해 열렸다.보고회에서 시가 발표한 자료에 따르면 한탄강 가든페스타에는 포천시민 3만명, 관광객 27만명 등 총 30만명이 방문했으며 시는 세외수입 약 12억원을 비롯해 130억원의 직접경제 효과를 창출했다.



(사진=포천시 제공)방문객을 대상으로 실시한 만족도 조사 결과에서는 포천시 도시 홍보 및 이미지 개선 효과와 함께 지역 경제 활성화 등의 항목에서 긍정적인 평가를 받았다.특히 계속 축제를 개최하길 바란다는 응답 비율이 높은 것으로 나타나 축제의 지속 발전 가능성을 보여줬다.관람객 설문조사 및 한국관광데이터랩의 빅데이터 분석 결과 전 연령층이 고르게 축제 현장을 방문했으며 이중 가족 단위 방문객의 비율이 68.8%에 달하는 등 가족형 축제로서의 발전 가능성이 큰 것으로 조사됐다.뿐만 아니라 포천시 관광 관련 사회관계망서비스(SNS) 분석에서는 60대 관광객들은 ‘한탄강생태경관단지’를 가장 많이 언급했다.이같은 성과를 바탕으로 시는 2025년 포천 한탄강 통합축제 계획에 대해 △지속 가능한 수익 창출 모델 개발 △체험형 관광 및 마이스(MICE) 산업 육성 △주민 협력을 통한 인구소멸 대응 등을 목표로 설정했다.



‘2024년 한탄강 가든페스타 성과보고회’에 참석한 백영현 시장.(사진=포천시 제공)시는 기존 한탄강 축제를 봄과 가을 계절별로 나눠 개최하고 세계드론제전, 농축산물 축제, 한탄강 지오 페스티벌 등 각 부서에서 진행하는 축제를 한탄강과 연계한 통합축제로 확대 운영할 방침이다.백영현 시장은 “한탄강 가든페스타는 국제교랑구조공학회(IABSE)에서 우수구조물상을 수상한 한탄강 Y형 출렁다리를 중심으로 30만명의 관광객을 유치하며 수도권 대표 축제로 자리 잡았다”며 “세계로 나아가는 관광 도시 포천으로 도약하기 위해 2025년 한탄강 통합축제를 철저히 준비하겠다”고 말했다.
"
한국경제,https://n.news.naver.com/mnews/article/015/0005061579?sid=101,"골드만삭스 ""내년 한국 경제 성장률 1%대…수출 둔화 탓""","
골드만삭스, 내년 한국 경제 성장률 1.8%""한국은행 기준 금리 2.25% 까지 인하 할 것""



사진=게티이미지뱅크골드만삭스가 수출 둔화 등의 이유를 꼽으며 내년 한국 경제 성장률을 1%대로 전망했다.권구훈 골드만삭스 아시아 담당 선임 이코노미스트(전무)는 26일 골드만삭스 서울지점에서 열린 '2025년 한국 거시 경제 전망' 간담회에 참석해 내년 한국의 경제 성장률을 1.8%로 전망하며 한국은행이 기준 금리를 2.25%까지 인하할 것으로 내다봤다.권 이코노미스트는 경제 성장률을 1%대로 전망한 이유로 먼저 수출 둔화를 꼽으며 ""수출 약화는 이미 올해 하반기 시작됐고 이에 따라 투자도 줄어들 가능성이 있다""면서 부진한 국내총생산(GDP) 성장률을 언급했다. 한국은행이 지난달 발표한 3분기 실질 GDP 성장률(직전 분기 대비·속보치)은 0.1%였다.그러면서 그는 ""내년에 확장 재정 정책을 하기는 힘들겠지만, 올해에 비해 긴축할 필요는 없지 않나 싶다""고 말했다.또한 그는 내년에 출범하는 미국의 도널드 트럼프 2기 행정부의 관세 정책이 ""한국 경제의 하방 리스크가 될 것""이라고 분석했다.다만 그는 트럼프 대통령 당선인 중국에 비싼 관세를 부과하며 '미·중 무역 전쟁'이 다시 일어날 경우 한국이 '반사 이익'을 볼 수도 있다는 전망을 하기도 했다.미국이 중국에서 수입하는 '전략 물품'의 비중이 감소하고 있는데 이것이 한국산 물품에는 기회가 될 수도 있다는 설명이다.그는 지난 7일 트럼프 당선인이 윤석열 대통령과 통화에서 조선업 협력을 언급한 점도 ""극단적 리스크는 제거된 것이 아닌가 싶다""고 말했다.이러한 내년도 한국의 부진한 성장 전망과 함께 권 이코노미스트는 한국은행이 현재 3.25%인 기준 금리를 향후 2.25% 수준까지 인하할 것으로 예측했다.그는 ""지난달 금통위원 대부분이 향후 3개월 금리를 유지해야 한다는 의견을 냈지만, 그사이 부진한 3분기 GDP가 발표됐다""며 한은이 컨센서스(시장 평균 전망치)인 2.50%보다 기준 금리를 더 내릴 가능성이 있다고 봤다.그는 ""이번 달에는 한은이 금리를 동결하겠지만, 전체적으로 비둘기파(완화적 통화정책 선호)적인 신호가 나올 것""이라고 내다봤다.아울러 그는 내년 상반기 중 원·달러 환율이 1450원까지 오를 것으로 예상하면서도 트럼프 2기 행정부의 실제 관세 정책과 한국의 순외화자산 규모 등에 따라 원화 강세가 나타날 수도 있다고 봤다.그는 ""내년 1월께 트럼프 행정부의 관세 정책이 발표되면 중국 위안화가 약세를 보이겠지만, 이전만큼 원화가 위안화나 여타 아시아 통화와의 동조화가 크지 않다""면서 이같이 말했다.
"
이데일리,https://n.news.naver.com/mnews/article/018/0005895890?sid=100,다시 10%대 주저앉은 尹지지율…경제·김건희 문제 ‘부정평가’,"
한국갤럽, 대통령 직무수행 평가 조사경제·민생·물가 문제가 가장 심각임기 후반기 양극화 해소로 극복할지 주목



윤석열 대통령이 지난 3월 18일 서울 서초구 농협 하나로마트 양재점 과일 매장에서 농림축산식품부 할인 지원 사과를 살피며 과일 물가를 점검하고 있다.(사진=대통령실 제공)[이데일리 김기덕 기자] 윤석열 대통령 국정 수행 지지율이 3주 만에 다시 10%대로 내려왔다. 경제·민생·물가 문제를 비롯해 김건희 여사 문제가 가장 큰 부정 평가 요인으로 꼽혔다. 임기 후반기 양극화 해소를 새로운 국정 운영 기조로 삼은 윤 대통령이 내수 부진 등 어려움이 가중되는 경제 문제를 어떻게 극복할지 관심이 모인다. 한국갤럽이 11월 마지막 주(26~28일)에 전국 만 18세 이상 1001명을 대상으로 대통령 직무 수행 평가를 조사한 결과, 윤 대통령에 대 긍정 평가는 전주 대비 1%포인트 내린 19%로 집계됐다. 11월 첫째 주 17%를 기록한 이후 20%를 유지하던 지지율은 재차 10%대로 내려왔다. 부정 평가는 전주와 동일한 72%를 기록했다. 지역별로는 서울(긍정 19%·부정 76%), 인천·경기(긍정 16%·부정 74%), 대전·세종·충청(긍정 24%·부정 69%), 광주·전라(긍정 7%·부정 88%) 등 모든 지역에서 부정 평가가 압도적으로 높았다. 특히 보수의 텃밭으로 불리는 대구·경북(긍정 40%·부정 47%)에서도 부정 평가가 더 많았다. 부정 평가 요인으로는 경제·민생·물가 문제가 15%로 가장 높았다. 이어 김건희 여사 문제(12%), 외교(8%), 소통 미흡(7%) 등의 순이었다. 긍정 평가 이유로는 ‘외교’(41%), ‘열심히 한다·최선을 다한다’(6%) 등이 꼽혔다. 현 정부가 추진하는 의료개혁 일환인 내년 의대 입시 정원 확대와 관련해선 56%가 ‘잘된 일’이라고 평가했다. 응답자 중 35%는 ‘잘못된 일’이라고 답했다. 다만 정부의 의료계 반발 및 의료 공백 대응에 대해선 18%만 ‘잘하고 있다’고 답했고, ‘잘못하고 있다’는 응답이 66%로 더 많았다.이번 부정평가 요인으로 지목된 경제·민생·물가 문제는 지난 한달 여 동안 김건희 여사 문제가 1위로 꼽히기 전부터 가장 높은 순위를 기록해 왔다. 이런 상황에서 윤 대통령이 임기 후반기 국정과제로 양극화 해소를 내세운 만큼 이를 불식시킬 수 있을지 주목된다. 앞서 윤 대통령은 지난 11일 수석비서관회의에서 소득·교육 양극화 타개를 후반기 국정 목표로 제시했으며, 지난 22일에도 국가조찬기도회에도 참석해 후반기에는 양극화 타개로 새로운 중산층 시대를 열겠다고 선언하는 등 연일 새 국정 기조를 강조한 바 있다. 정부가 내수 부진 해소를 위한 경기 부양과 양극화 타개를 위해 예산 증액 등 추경을 통한 확대 재정을 검토할 수 있다는 관측도 나온다. 한편 이번 조사는 무작위 추출된 무선전화 가상번호에 전화 조사원 인터뷰 방식으로 진행됐다. 표본오차는 95% 신뢰 수준에서 ±3.1%포인트, 응답률은 11.0%였다. 자세한 내용은 중앙선거여론조사심의위원회와 한국갤럽 홈페이지를 참조하면 된다.
"
아시아경제,https://n.news.naver.com/mnews/article/277/0005508375?sid=101,"""연간 여객 1억명 수용"" 인천공항, 세계 3위 공항 도약","
4단계 확장 사업 성료…내달 3일부터 운영세계 첫 국제여객 5천만명 수용 터미널 2개'스마트패스' 도입해 탑승수속 편의성 제고""향상된 서비스로 1.7조원 경제 효과 창출""대한민국의 관문 인천국제공항이 4단계 확장 사업을 마치고, 연간 여객 1억명 이상을 수용할 수 있는 세계 3위 공항으로 도약했다.



인천공항 4단계 제2여객터미널 확장도 / 이미지제공=국토교통부국토교통부와 인천국제공항공사는 29일 오전 인천공항 제2여객터미널(T2) 확장 구역에서 '인천공항 4단계 그랜드 오프닝 행사'를 개최했다. 정식 운영은 다음 달 3일부터다.인천공항은 개항 16년 만인 2017년 총사업비 4조8000억원 규모의 4단계 확장 사업에 돌입했다. 이 사업은 제4활주로와 계류장 75개소(여객 62개소, 화물 13개소) 신설, T2 확장을 골자로 한다.몸집을 키운 인천공항의 연간 수용 여객은 기존 7700만명에서 1억600만명으로 늘어난다. 동시에 세계 최초로 국제여객 5000만명 이상을 수용할 수 있는 여객 터미널을 2개 보유하게 됐다. 여객뿐만 아니라 화물 처리 능력도 630만t까지 증설해 세계 2위의 항공 물류 능력을 구축했다. 국내 반도체 수출의 98%를 처리하는 물류 허브 입지가 더욱 견고해진 것이다.이와 함께 항공정비산업(MRO), 화물터미널, 관광·문화 융복합 시설 등 인프라 측면에서 새로운 항공산업의 생태계를 조성했다. 국토부는 인천공항이 약 1조7000억원의 경제적 파급효과를 창출하는 등 경제 활성화에 크게 기여할 것으로 기대했다.인천공항은 스마트 보안 서비스를 강화해 보안 검색과 탑승 수속 과정의 편리성도 높였다. 인공지능(AI)과 생체 인식을 활용한 '스마트패스' 시스템 도입으로 여권, 탑승권을 반복적으로 제시할 필요가 없어졌다. 또 자동 보안 검색 시스템을 통해 보안 절차를 간소화하고, 철저한 보안 관리를 구현해 공항 운영의 효율성·안전성을 확보하게 됐다.



인천공항 제2여객터미널 내 조성된 야외공원 투시도 / 이미지제공=국토교통부나아가 인천공항은 여객들의 대기 시간을 풍성하게 만들고, 외국인들에게 다양한 한국 문화의 아름다움을 선사한다. 공항 곳곳에 예술 작품과 디지털 콘텐츠가 전시되고, 터미널 내부에는 '공원 속의 공항'이라는 친환경적 가치를 담은 야외 휴식 공간이 꾸며졌다.아울러 출발 게이트 공간을 600m가량 늘여 쾌적함을 더하고, 교통약자 이용 시 불편함이 없도록 시설을 보완했다. 자율주행 운송 수단(AM) 도입 및 정기 운영, 다양한 높이에서 사용할 수 있는 무인 안내기(키오스크) 설치 등이 해당한다.



29일 인천 영종도 인천공항제2여객터미널에서 열린 제2여객터미널(T2)  4단계 확장시설 개장식에서 이학재 인천공항공사 사장이 환영사를 하고 있다. 공식운영은 종합시운전 등을 거쳐 내달 3일 시작한다.박상우 국토부 장관은 ""이번 4단계 확장 사업은 30년 장기계획을 흔들림 없이 추진한 정부 정책의 대표 사례로, 여객 1억명 시대를 열어 한국이 새로 비상하는 이정표가 될 것""이라며 ""최고 수준의 공항 인프라에 걸맞은 서비스를 제공할 수 있도록 운영 개시 전후 점검을 지속하겠다""고 말했다. 이어 ""더 많은 국민이 한 단계 향상된 항공 서비스를 누릴 수 있도록 세계 각국과 국제선 네트워크도 강화해 나가겠다""고 덧붙였다.한편, 이날 행사에는 박상우 장관, 유정복 인천광역시장, 이학재 인천국제공항공사 사장, 맹성규 국토교통위원장, 배준영 국민의힘 원내수석부대표, 공항 관계자 등 800여명이 참석했다.
"
머니투데이,https://n.news.naver.com/mnews/article/008/0005119984?sid=102,시흥시 내년 예산안 1조8778억 편성...'안전·경제·성장'에 방점,"
2024년 대비 15.6% 증액, '모두의 안전·모두의 경제·모두의 미래' 도약



시흥시청 전경./사진제공=시흥시경기 시흥시는 2025년도 예산안을 1조8778억원(일반회계 1조5420억원, 특별회계 3358억원) 규모로 편성해 지난 21일 시흥시의회에 제출했다고 27일 밝혔다.이는 전년도 본예산 1조6241억원보다 약 2537억원(15.6%) 증액된 규모다.시는 중앙정부의 긴축재정과 달리 시민 편익을 위한 기반 시설, 일자리 창출, 복지, 함께 첨단바이오 산업 및 해양생태관광 도시를 기반으로 한 대한민국 대표도시로 도약하기 위한 확장 재정을 운용한다.시 예산의 82%를 차지하는 일반회계는 전년 대비 1133억원을 증액했다. 세입별로는 △지방세 4574억원 △세외수입 680억원 △국·도비 보조금 5535억원 △지방교부세 1211억원 △조정교부금 1209억원 △지방채 959억원 △보전수입 1252억원으로 편성했다.2025년도 예산안의 편성 방향은 취약계층 돌봄과 재난 대응 신속 체계 마련으로 '안전도시를 구축'하고, 골목상권 경제 활성화와 기업 근로 및 성장동력 지원을 통해 '민생경제에 활력'을 불어넣으며, 첨단산업단지 조성과 해양 대표도시 조성을 통해 '미래도시로 성장'하겠다는 구상이다. △대도시 기반 인프라 구축을 위해 1356억원 △시민 안전 확보를 위해 570억원 △민생경제 회복을 위해 340억원 △탄소중립·환경 보전을 위해 583억원 △미래교육 및 첨단산업 육성을 위해 190억원 △취약계층 지원을 위해 1405억원 △보훈·어르신 지원을 위해 2128억원 △청년·청소년·다문화 지원을 위해 430억원 △아동·여성 지원을 위해 2438억원 △문화·체육·관광 지원을 위해 176억원 △보건·의료 지원을 위해 330억원 △농·축·수산 지원을 위해 157억원을 편성했다. '안전도시 구축'을 위해 지능형 교통시스템을 구축하고, 도로관리사무소를 건립하는 등 교통안전에 집중하고, 자율방범대 활동 지원을 강화하며 방범 CCTV를 확충해 시민의 생활안전 보장에 주력할 계획이다. '민생경제 활력'을 위해 지역화폐 시루 발행과 전통시장 지원을 강화하고 소상공인 특례보증을 지원한다. 기업 환경을 개선하고 산업단지를 활성화해 지속 가능한 경제 생태계를 조성하고 지역주민과 기업 모두가 상생할 수 있는 환경을 구축한다.'미래도시 성장'을 위해 철도 및 대중교통 인프라 확충과 문예회관, 다목적 체육관, 복지관 등의 건립을 통해 지역 균형발전을 도모한다. 특히 바이오산업과 같은 첨단산업을 육성하며 신재생에너지 융복합사업을 지원할 계획이다.임병택 시흥시장은 ""중앙정부 및 경기도의 재정 전망이 밝지 않고, 세입 여건이 보합세를 보이는 등 재정 운용의 하방 압력이 존재하지만, 시는 생동감 있는 변화와 발전을 위해 미래를 향한 변화와 성장을 가속화하고, 시민의 삶과 직결되는 경제 분야에 대한 투자를 아끼지 않겠다""면서 ""균형 있는 도시 발전과 지속 가능한 경제 생태계를 조성해 '현재와 미래의 시민이 행복한 시흥'을 만들겠다""고 밝혔다.
"
뉴시스,https://n.news.naver.com/mnews/article/003/0012929797?sid=102,"김재천 완주 부의장, 지방자치컨텐츠대상 행정·경제 분야 대상","




[완주=뉴시스] 김재천 완주군의회 부의장(가운데) *재판매 및 DB 금지[완주=뉴시스] 김민수 기자 = 전북 완주군의회 김재천 부의장이 27일 국회의원회관 대회의실에서 열린 '2024 지방자치컨텐츠대상' 시상식에서 지방의회 부분 행정·경제 분야 대상을 수상했다.'지방자치컨텐츠대상'은 지방자치TV가 주최하고 행정안전부, 국회 행정안전위원회, 국회 농림축산식품해양수산위원회 등이 후원하는 행사다. 지방자치단체의 발전을 촉진하기 위해 전국 각 지자체의 우수한 정책과 혁신적인 콘텐츠를 발굴하고 선정해 시상하는 자리다.김 부의장은 우수한 정책 개발과 혁신적인 콘텐츠 개발을 통해 주민들의 삶의 질을 개선하고, 지역 발전에 기여한 공로를 인정받았다.김재천 부의장은 ""지방자치 발전을 위해 지역 주민과의 소통을 강화하고, 주민들의 목소리를 정책에 반영하기 위해 노력할 것""이라며 ""앞으로도 지역 내 중소기업의 일하기 좋은 환경 만들기와 지역경제 활성화를 위한 다양한 정책을 추진할 계획""이라고 덧붙였다.
"
연합뉴스,https://n.news.naver.com/mnews/article/001/0015075036?sid=101,경제계 간담회 참석하는 진성준-오기형 의원,"




    (서울=연합뉴스) 류영석 기자 = 29일 오전 서울 중구 대한상공회의소에서 열린 대한상의 주최 더불어민주당 주식시장 활성화 테스크포스(TF)-경제계 간담회에서 민주당 진성준 정책위의장,박일준 대한상의 상근부회장, 오기형 TF 단장이 입장하고 있다. 2024.11.29    ondol@yna.co.kr
"
경기일보,https://n.news.naver.com/mnews/article/666/0000058153?sid=102,"성남시, 월판선 판교역원 신설 착수…내년 사전타당성조사 진행","




월곶판교선 노선도. 경기일보DB  성남시가 월곶판교간복선전철(월판선) 판교원역 신설을 위한 사업 타당성을 검증하는 절차에 착수한다. 월판선 계획 당시 판교원역은 경제성이 떨어진다는 이유로 배제됐지만, 시는 판교2·3테크노밸리 등이 조성돼 도시여건에 변화가 있다고 판단한 만큼 확보에 주력한다는 방침이다.   29일 성남시에 따르면 시는 내년 2~3월 1회 추경예산안에 월판선 판교원역 신설을 위한 사전타당성조사 용역비 2억여원을 세워 성남시의회에 제출할 예정이다. 이후 예산을 확보한 뒤 같은 해 상반기 판교원역 사전타당성조사에 착수해 1년간 용역을 진행하고 2026년 국토교통부에 역사 신선을 요청할 계획이다.   판교원역은 월판선 서판교역~판교역 사이에 역을 추가하는 것이 주요 내용이다. 월판선(총연장 34.2㎞)은 시흥·광명·안양·의왕을 거쳐 성남 판교역에서 경강선, 신분당선과 연결되는 일반철도 사업이다.   시는 판교동 낙생초 뒤편에 있는 미르공원에 역사 신설을 검토한다는 계획이다. 현재 월판선 성남구간인 10공구는 지난 6월 착공돼 공사가 진행 중이다.   앞서 판교원역은 2017년 월판선 기본계획 수립 당시 국토부가 검토했지만, 역간 거리, 경제성 부족 등으로 반영되지 못했다.   그러나 제2·3테크노밸리사업 등 유동인구가 늘어나고 주변 도시환경 수요 변화가 늘기 시작하자 판교역원 주변 주민들은 역사 신설을 시에 요청했다.   이에 시는 최근 월판선 공사를 시행하는 국가철도공단에 판교원역 신설을 검토 요청해 공단측으로부터 “원인자(성남시)가 건설비용 전액을 부담하고 타당성 조사를 거쳐 타당성이 확보될 경우 국토부의 승인 후 신설사업 추진이 가능하다”고 답변 받았다.   다만, 공단은 경제적 타당성과 더불어 ‘월곶~판교 복선전철의 개통공정, 적정 역간거리, 정거장 설치구간의 평면·종단 선형, 준고속열차 통과를 위한 전동차 대피계획 등에 대한 종합적 검토가 필요하다’는 의견을 전달한 것으로 알려졌다.   시는 이 부분을 사전타당성조사를 통해 주력으로 검증한다는 방침인데, 구체적인 내용은 용역 진행과정에서 찾겠다는 복안이다.   시 관계자는 “우선 사전타당성조사를 위해 내년 추경예산에 용역비를 세워 의회에 제출하겠다”며 “2017년과 지금은 판교원역 신설 예정 일대 여건이 많이 변한 만큼 경제성 확보를 위해 주력할 것”이라고 말했다.
		"
스포츠서울,https://n.news.naver.com/mnews/article/468/0001111556?sid=102,"GH-가평군, 지역경제 활성화 상생발전 협약 체결","
			-가평군의 균형적인 발전과 지역경제 활성화를 도모하기 위한 상호 협력 약속



(사진 왼쪽부터) 김세용 사장, 서태원 가평군수. 제공=경기주택도시공사〔스포츠서울│수원=좌승훈기자〕경기주택도시공사(GH)는 28일 광교 본사에서 김세용 사장, 서태원 가평군수가 참석한 가운데 가평군과 ‘가평군 산업인프라 확충을 위한 가평군-GH 상생발전 협약’을 체결했다.협약에 따라 가평군은 기반시설 부담 및 기업 유치 용지매각 지원, GH는 신규 투자사업 참여 절차 이행, 인·허가 업무를 수행한다.가평군 등 경기도 동북부 일원은 수도권정비계획과 팔당호 수질보전 관련 규제 등으로 개발사업 진행에 어려움이 많아 해당 지역 주민들은 생활 기반시설 및 일자리 부족 문제를 겪고 있다.김세용 사장은 “이번 협약을 계기로 1999년 목동 일반산업단지 이후 산업단지가 없었던 가평군에 일자리를 창출할 수 있는 산업기반 확충에 큰 추진 동력을 얻게 됐다”고 말했다.hoonjs@sportsseoul.com
"
